frame# flag page#
0 1 66
1 1 244
2 1 117
3 1 209
4 1 156
5 1 112
6 1 95
7 1 189
8 1 253
9 1 71
10 1 47
11 1 88
12 1 226
13 1 109
14 1 214
15 1 152
16 1 128
17 1 250
18 1 9
19 1 251
20 1 215
21 1 72
22 1 56
23 1 238
24 1 29
25 1 252
26 1 26
27 1 126
28 1 236
29 1 24
30 1 178
31 1 3
32 1 159
33 1 192
34 1 160
35 1 83
36 1 23
37 1 127
38 1 69
39 1 14
40 1 231
41 1 234
42 1 165
43 1 174
44 1 87
45 1 11
46 1 61
47 1 123
48 1 42
49 1 170
50 1 130
51 1 175
52 1 221
53 1 19
54 1 196
55 1 75
56 1 142
57 1 40
58 1 230
59 1 20
60 1 228
61 1 107
62 1 201
63 1 119
64 1 113
65 1 79
66 1 247
67 1 2
68 1 168
69 1 188
70 1 135
71 1 144
72 1 197
73 1 70
74 1 15
75 1 212
76 1 167
77 1 183
78 1 33
79 1 149
80 1 91
81 1 166
82 1 62
83 1 146
84 1 21
85 1 249
86 1 246
87 1 241
88 1 76
89 1 36
90 1 240
91 1 122
92 1 237
93 1 243
94 1 85
95 1 103
96 1 58
97 1 161
98 1 219
99 1 203
100 1 187
101 1 232
102 1 198
103 1 27
104 1 136
105 1 105
106 1 202
107 1 41
108 1 18
109 1 111
110 1 248
111 1 245
112 1 106
113 1 25
114 1 147
115 1 169
116 1 184
117 1 205
118 1 50
119 1 255
120 1 223
121 1 49
122 1 54
123 1 194
124 1 60
125 1 185
126 1 59
127 1 200
128 1 190
129 1 7
130 1 57
131 1 94
132 1 31
133 1 227
134 1 207
135 1 218
136 1 110
137 1 8
138 1 208
139 1 143
140 1 90
141 1 52
142 1 77
143 1 101
144 1 114
145 1 148
146 1 222
147 1 82
148 1 224
149 1 155
150 1 96
151 1 163
152 1 81
153 1 158
154 1 93
155 1 137
156 1 43
157 1 12
158 1 78
159 1 4
160 1 68
161 1 116
162 1 45
163 1 162
164 1 132
165 1 239
166 1 104
167 1 199
168 1 28
169 1 154
170 1 6
171 1 139
172 1 108
173 1 51
174 1 38
175 1 173
176 1 48
177 1 193
178 1 64
179 1 177
180 1 164
181 1 34
182 1 204
183 1 151
184 1 32
185 1 233
186 1 206
187 1 65
188 1 35
189 1 254
190 1 213
191 1 176
192 1 102
193 1 115
194 1 125
195 1 180
196 1 181
197 1 191
198 1 16
199 1 179
200 1 220
201 1 5
202 1 211
203 1 22
204 1 84
205 1 97
206 1 89
207 1 53
208 1 172
209 1 129
210 1 10
211 1 210
212 1 44
213 1 141
214 1 92
215 1 229
216 1 182
217 1 153
218 1 63
219 1 138
220 1 186
221 1 86
222 1 80
223 1 1
224 1 171
225 1 235
226 1 30
227 1 216
228 1 0
229 1 17
230 1 118
231 1 195
232 1 37
233 1 46
234 1 217
235 1 39
236 1 99
237 1 131
238 1 133
239 1 225
240 1 67
241 1 73
242 1 121
243 1 242
244 0 -1
245 0 -1
246 0 -1
247 0 -1
248 0 -1
249 0 -1
250 0 -1
251 0 -1
252 0 -1
253 0 -1
254 0 -1
255 0 -1
